dropout,batch_size,learning_rate,color_jitter,epoch,train_acc,val_acc


RUN 1/72 PARAMETERS: dropout=0.5, batch_size=32, learning_rate=0.001, color_jitter=0.1
0.5,64,1e-05,0.3,10,0.7481,0.7442


RUN 19/72 PARAMETERS: dropout=0.6, batch_size=32, learning_rate=0.001, color_jitter=0.1

0.6,32,0.001,0.1,1,0.8037,0.8964
0.6,32,0.001,0.1,2,0.8903,0.8944
0.6,32,0.001,0.1,3,0.9073,0.9118
0.6,32,0.001,0.1,4,0.9174,0.9179
0.6,32,0.001,0.1,5,0.9244,0.9402
0.6,32,0.001,0.1,6,0.9287,0.9366
0.6,32,0.001,0.1,7,0.9312,0.9323
0.6,32,0.001,0.1,8,0.9331,0.9306
0.6,32,0.001,0.1,9,0.9356,0.9397
0.6,32,0.001,0.1,10,0.9359,0.9432


RUN 20/72 PARAMETERS: dropout=0.6, batch_size=32, learning_rate=0.001, color_jitter=0.2

0.6,32,0.001,0.2,1,0.8078,0.8924
0.6,32,0.001,0.2,2,0.8872,0.9114
0.6,32,0.001,0.2,3,0.9064,0.9254
0.6,32,0.001,0.2,4,0.9196,0.9318
0.6,32,0.001,0.2,5,0.9264,0.9207
0.6,32,0.001,0.2,6,0.9303,0.9342
0.6,32,0.001,0.2,7,0.9337,0.9135
0.6,32,0.001,0.2,8,0.9347,0.9350
0.6,32,0.001,0.2,9,0.9362,0.9298
0.6,32,0.001,0.2,10,0.9384,0.9419


RUN 21/72 PARAMETERS: dropout=0.6, batch_size=32, learning_rate=0.001, color_jitter=0.3

0.6,32,0.001,0.3,1,0.8021,0.8857
0.6,32,0.001,0.3,2,0.8872,0.8710
0.6,32,0.001,0.3,3,0.9095,0.9174
0.6,32,0.001,0.3,4,0.9212,0.9268
0.6,32,0.001,0.3,5,0.9264,0.9191
0.6,32,0.001,0.3,6,0.9316,0.9325
0.6,32,0.001,0.3,7,0.9332,0.9322
0.6,32,0.001,0.3,8,0.9364,0.9315
0.6,32,0.001,0.3,9,0.9352,0.9446
0.6,32,0.001,0.3,10,0.9369,0.8892


RUN 22/72 PARAMETERS: dropout=0.6, batch_size=32, learning_rate=0.0001, color_jitter=0.1

0.6,32,0.0001,0.1,1,0.6671,0.7389
0.6,32,0.0001,0.1,2,0.7680,0.8055
0.6,32,0.0001,0.1,3,0.8203,0.8492
0.6,32,0.0001,0.1,4,0.8564,0.8753
0.6,32,0.0001,0.1,5,0.8818,0.8941
0.6,32,0.0001,0.1,6,0.8996,0.9046
0.6,32,0.0001,0.1,7,0.9111,0.9069
0.6,32,0.0001,0.1,8,0.9193,0.9142
0.6,32,0.0001,0.1,9,0.9253,0.9151
0.6,32,0.0001,0.1,10,0.9302,0.9175


RUN 23/72 PARAMETERS: dropout=0.6, batch_size=32, learning_rate=0.0001, color_jitter=0.2

0.6,32,0.0001,0.2,1,0.6749,0.7556
0.6,32,0.0001,0.2,2,0.7786,0.8228
0.6,32,0.0001,0.2,3,0.8270,0.8556
0.6,32,0.0001,0.2,4,0.8562,0.8643
0.6,32,0.0001,0.2,5,0.8778,0.8926
0.6,32,0.0001,0.2,6,0.8936,0.8970
0.6,32,0.0001,0.2,7,0.9062,0.8992
0.6,32,0.0001,0.2,8,0.9132,0.9095
0.6,32,0.0001,0.2,9,0.9183,0.9106
0.6,32,0.0001,0.2,10,0.9245,0.9164


RUN 24/72 PARAMETERS: dropout=0.6, batch_size=32, learning_rate=0.0001, color_jitter=0.3

0.6,32,0.0001,0.3,1,0.6659,0.7482
0.6,32,0.0001,0.3,2,0.7868,0.8270
0.6,32,0.0001,0.3,3,0.8391,0.8695
0.6,32,0.0001,0.3,4,0.8720,0.8889
0.6,32,0.0001,0.3,5,0.8902,0.9020
0.6,32,0.0001,0.3,6,0.9038,0.8888
0.6,32,0.0001,0.3,7,0.9132,0.9140
0.6,32,0.0001,0.3,8,0.9215,0.9116
0.6,32,0.0001,0.3,9,0.9273,0.9190
0.6,32,0.0001,0.3,10,0.9333,0.9204


RUN 25/72 PARAMETERS: dropout=0.6, batch_size=32, learning_rate=1e-05, color_jitter=0.1

0.6,32,1e-05,0.1,1,0.5699,0.6199
0.6,32,1e-05,0.1,2,0.6132,0.6409
0.6,32,1e-05,0.1,3,0.6428,0.6634
0.6,32,1e-05,0.1,4,0.6652,0.6841
0.6,32,1e-05,0.1,5,0.6863,0.7003
0.6,32,1e-05,0.1,6,0.7018,0.7158
0.6,32,1e-05,0.1,7,0.7183,0.7296
0.6,32,1e-05,0.1,8,0.7312,0.7429
0.6,32,1e-05,0.1,9,0.7432,0.7484
0.6,32,1e-05,0.1,10,0.7540,0.7613


RUN 26/72 PARAMETERS: dropout=0.6, batch_size=32, learning_rate=1e-05, color_jitter=0.2

0.6,32,1e-05,0.2,1,0.5599,0.5962
0.6,32,1e-05,0.2,2,0.6062,0.6301
0.6,32,1e-05,0.2,3,0.6388,0.6626
0.6,32,1e-05,0.2,4,0.6644,0.6832
0.6,32,1e-05,0.2,5,0.6922,0.7091
0.6,32,1e-05,0.2,6,0.7126,0.7216
0.6,32,1e-05,0.2,7,0.7298,0.7379
0.6,32,1e-05,0.2,8,0.7451,0.7422
0.6,32,1e-05,0.2,9,0.7543,0.7599
0.6,32,1e-05,0.2,10,0.7671,0.7701


RUN 27/72 PARAMETERS: dropout=0.6, batch_size=32, learning_rate=1e-05, color_jitter=0.3

0.6,32,1e-05,0.3,1,0.5485,0.5999
0.6,32,1e-05,0.3,2,0.5923,0.6211
0.6,32,1e-05,0.3,3,0.6247,0.6528
0.6,32,1e-05,0.3,4,0.6485,0.6701
0.6,32,1e-05,0.3,5,0.6695,0.6896
0.6,32,1e-05,0.3,6,0.6903,0.7097
0.6,32,1e-05,0.3,7,0.7075,0.7273
0.6,32,1e-05,0.3,8,0.7240,0.7384
0.6,32,1e-05,0.3,9,0.7401,0.7530
0.6,32,1e-05,0.3,10,0.7527,0.7641


RUN 28/72 PARAMETERS: dropout=0.6, batch_size=64, learning_rate=0.001, color_jitter=0.1

0.6,64,0.001,0.1,1,0.7990,0.8781
0.6,64,0.001,0.1,2,0.8902,0.8829
0.6,64,0.001,0.1,3,0.9132,0.9111
0.6,64,0.001,0.1,4,0.9212,0.9219
0.6,64,0.001,0.1,5,0.9280,0.9277
0.6,64,0.001,0.1,6,0.9322,0.9367
0.6,64,0.001,0.1,7,0.9369,0.9343
0.6,64,0.001,0.1,8,0.9400,0.9385
0.6,64,0.001,0.1,9,0.9425,0.9393
0.6,64,0.001,0.1,10,0.9439,0.9357


RUN 29/72 PARAMETERS: dropout=0.6, batch_size=64, learning_rate=0.001, color_jitter=0.2

0.6,64,0.001,0.2,1,0.7975,0.8923
0.6,64,0.001,0.2,2,0.8978,0.9148
0.6,64,0.001,0.2,3,0.9150,0.9215
0.6,64,0.001,0.2,4,0.9232,0.9345
0.6,64,0.001,0.2,5,0.9303,0.9310
0.6,64,0.001,0.2,6,0.9348,0.9369
0.6,64,0.001,0.2,7,0.9384,0.9414
0.6,64,0.001,0.2,8,0.9418,0.9260
0.6,64,0.001,0.2,9,0.9428,0.9462
0.6,64,0.001,0.2,10,0.9449,0.9405


RUN 30/72 PARAMETERS: dropout=0.6, batch_size=64, learning_rate=0.001, color_jitter=0.3

0.6,64,0.001,0.3,1,0.7876,0.8428
0.6,64,0.001,0.3,2,0.8864,0.9096
0.6,64,0.001,0.3,3,0.9089,0.9174
0.6,64,0.001,0.3,4,0.9176,0.9296
0.6,64,0.001,0.3,5,0.9268,0.9241
0.6,64,0.001,0.3,6,0.9315,0.9376
0.6,64,0.001,0.3,7,0.9360,0.9417
0.6,64,0.001,0.3,8,0.9380,0.9383
0.6,64,0.001,0.3,9,0.9409,0.9471
0.6,64,0.001,0.3,10,0.9440,0.9385


RUN 31/72 PARAMETERS: dropout=0.6, batch_size=64, learning_rate=0.0001, color_jitter=0.1

0.6,64,0.0001,0.1,1,0.6465,0.7312
0.6,64,0.0001,0.1,2,0.7692,0.7998
0.6,64,0.0001,0.1,3,0.8165,0.8344
0.6,64,0.0001,0.1,4,0.8462,0.8569
0.6,64,0.0001,0.1,5,0.8668,0.8672
0.6,64,0.0001,0.1,6,0.8841,0.8790
0.6,64,0.0001,0.1,7,0.8953,0.8864
0.6,64,0.0001,0.1,8,0.9070,0.8905
0.6,64,0.0001,0.1,9,0.9152,0.8950
0.6,64,0.0001,0.1,10,0.9233,0.8993


RUN 32/72 PARAMETERS: dropout=0.6, batch_size=64, learning_rate=0.0001, color_jitter=0.2

0.6,64,0.0001,0.2,1,0.6607,0.7291
0.6,64,0.0001,0.2,2,0.7582,0.7907
0.6,64,0.0001,0.2,3,0.8093,0.8287
0.6,64,0.0001,0.2,4,0.8398,0.8514
0.6,64,0.0001,0.2,5,0.8623,0.8712
0.6,64,0.0001,0.2,6,0.8809,0.8862
0.6,64,0.0001,0.2,7,0.8925,0.8912
0.6,64,0.0001,0.2,8,0.9040,0.8945
0.6,64,0.0001,0.2,9,0.9119,0.8964
0.6,64,0.0001,0.2,10,0.9213,0.8968


RUN 33/72 PARAMETERS: dropout=0.6, batch_size=64, learning_rate=0.0001, color_jitter=0.3

0.6,64,0.0001,0.3,1,0.6635,0.7330
0.6,64,0.0001,0.3,2,0.7601,0.7934
0.6,64,0.0001,0.3,3,0.8126,0.8260
0.6,64,0.0001,0.3,4,0.8444,0.8536
0.6,64,0.0001,0.3,5,0.8668,0.8662
0.6,64,0.0001,0.3,6,0.8815,0.8804
0.6,64,0.0001,0.3,7,0.8933,0.8851
0.6,64,0.0001,0.3,8,0.9023,0.8862
0.6,64,0.0001,0.3,9,0.9109,0.8961
0.6,64,0.0001,0.3,10,0.9190,0.8976


RUN 34/72 PARAMETERS: dropout=0.6, batch_size=64, learning_rate=1e-05, color_jitter=0.1

0.6,64,1e-05,0.1,1,0.5557,0.6038
0.6,64,1e-05,0.1,2,0.6049,0.6294
0.6,64,1e-05,0.1,3,0.6303,0.6460
0.6,64,1e-05,0.1,4,0.6491,0.6607
0.6,64,1e-05,0.1,5,0.6672,0.6775
0.6,64,1e-05,0.1,6,0.6834,0.6907
0.6,64,1e-05,0.1,7,0.6998,0.7039
0.6,64,1e-05,0.1,8,0.7132,0.7186
0.6,64,1e-05,0.1,9,0.7250,0.7267
0.6,64,1e-05,0.1,10,0.7370,0.7340


RUN 35/72 PARAMETERS: dropout=0.6, batch_size=64, learning_rate=1e-05, color_jitter=0.2

0.6,64,1e-05,0.2,1,0.5596,0.6038
0.6,64,1e-05,0.2,2,0.6065,0.6334
0.6,64,1e-05,0.2,3,0.6390,0.6590
0.6,64,1e-05,0.2,4,0.6680,0.6857
0.6,64,1e-05,0.2,5,0.6892,0.7046
0.6,64,1e-05,0.2,6,0.7074,0.7212
0.6,64,1e-05,0.2,7,0.7227,0.7322
0.6,64,1e-05,0.2,8,0.7355,0.7417
0.6,64,1e-05,0.2,9,0.7490,0.7562
0.6,64,1e-05,0.2,10,0.7594,0.7599


RUN 36/72 PARAMETERS: dropout=0.6, batch_size=64, learning_rate=1e-05, color_jitter=0.3

0.6,64,1e-05,0.3,1,0.5563,0.6006
0.6,64,1e-05,0.3,2,0.6007,0.6235
0.6,64,1e-05,0.3,3,0.6234,0.6376
0.6,64,1e-05,0.3,4,0.6407,0.6513
0.6,64,1e-05,0.3,5,0.6547,0.6610
0.6,64,1e-05,0.3,6,0.6711,0.6765
0.6,64,1e-05,0.3,7,0.6836,0.6896
0.6,64,1e-05,0.3,8,0.6971,0.6989
0.6,64,1e-05,0.3,9,0.7074,0.7127
0.6,64,1e-05,0.3,10,0.7181,0.7218


RUN 37/72 PARAMETERS: dropout=0.7, batch_size=32, learning_rate=0.001, color_jitter=0.1

0.7,32,0.001,0.1,1,0.7990,0.8765
0.7,32,0.001,0.1,2,0.8847,0.9194
0.7,32,0.001,0.1,3,0.9052,0.9167
0.7,32,0.001,0.1,4,0.9167,0.9301
0.7,32,0.001,0.1,5,0.9237,0.9308
0.7,32,0.001,0.1,6,0.9297,0.9338
0.7,32,0.001,0.1,7,0.9311,0.9338
