dropout,batch_size,learning_rate,color_jitter,epoch,train_acc,val_acc


RUN 1/72 PARAMETERS: dropout=0.5, batch_size=32, learning_rate=0.001, color_jitter=0.1
0.5,64,1e-05,0.1,17,0.7892,0.7812
0.5,64,1e-05,0.1,18,0.7951,0.7854
0.5,64,1e-05,0.1,19,0.8017,0.7870
0.5,64,1e-05,0.1,20,0.8050,0.7913


RUN 17/72 PARAMETERS: dropout=0.5, batch_size=64, learning_rate=1e-05, color_jitter=0.2

0.5,64,1e-05,0.2,1,0.5837,0.6196
0.5,64,1e-05,0.2,2,0.6204,0.6411
0.5,64,1e-05,0.2,3,0.6454,0.6617
0.5,64,1e-05,0.2,4,0.6721,0.6833
0.5,64,1e-05,0.2,5,0.6941,0.6992
0.5,64,1e-05,0.2,6,0.7110,0.7115
0.5,64,1e-05,0.2,7,0.7249,0.7282
0.5,64,1e-05,0.2,8,0.7357,0.7385
0.5,64,1e-05,0.2,9,0.7486,0.7510
0.5,64,1e-05,0.2,10,0.7592,0.7550
0.5,64,1e-05,0.2,11,0.7698,0.7647
0.5,64,1e-05,0.2,12,0.7774,0.7740
0.5,64,1e-05,0.2,13,0.7858,0.7763
0.5,64,1e-05,0.2,14,0.7926,0.7800
0.5,64,1e-05,0.2,15,0.7990,0.7901
0.5,64,1e-05,0.2,16,0.8058,0.7934
0.5,64,1e-05,0.2,17,0.8107,0.7975
0.5,64,1e-05,0.2,18,0.8144,0.8056
0.5,64,1e-05,0.2,19,0.8212,0.8089
0.5,64,1e-05,0.2,20,0.8239,0.8108


RUN 18/72 PARAMETERS: dropout=0.5, batch_size=64, learning_rate=1e-05, color_jitter=0.3

0.5,64,1e-05,0.3,1,0.5893,0.6227
0.5,64,1e-05,0.3,2,0.6300,0.6485
0.5,64,1e-05,0.3,3,0.6579,0.6706
0.5,64,1e-05,0.3,4,0.6806,0.6939
0.5,64,1e-05,0.3,5,0.6985,0.7140
0.5,64,1e-05,0.3,6,0.7175,0.7261
0.5,64,1e-05,0.3,7,0.7305,0.7384
0.5,64,1e-05,0.3,8,0.7420,0.7457
0.5,64,1e-05,0.3,9,0.7538,0.7540
0.5,64,1e-05,0.3,10,0.7601,0.7658
0.5,64,1e-05,0.3,11,0.7722,0.7726
0.5,64,1e-05,0.3,12,0.7797,0.7807
0.5,64,1e-05,0.3,13,0.7871,0.7857
0.5,64,1e-05,0.3,14,0.7939,0.7896
0.5,64,1e-05,0.3,15,0.7986,0.7966
0.5,64,1e-05,0.3,16,0.8028,0.8007
0.5,64,1e-05,0.3,17,0.8103,0.8092
0.5,64,1e-05,0.3,18,0.8154,0.8115
0.5,64,1e-05,0.3,19,0.8199,0.8174
0.5,64,1e-05,0.3,20,0.8238,0.8165


RUN 19/72 PARAMETERS: dropout=0.6, batch_size=32, learning_rate=0.001, color_jitter=0.1

0.6,32,0.001,0.1,1,0.8003,0.8962
0.6,32,0.001,0.1,2,0.8919,0.9053
0.6,32,0.001,0.1,3,0.9105,0.9070
0.6,32,0.001,0.1,4,0.9213,0.9329
0.6,32,0.001,0.1,5,0.9275,0.9368
0.6,32,0.001,0.1,6,0.9300,0.9420
0.6,32,0.001,0.1,7,0.9314,0.9430
0.6,32,0.001,0.1,8,0.9338,0.9423
0.6,32,0.001,0.1,9,0.9359,0.9334
0.6,32,0.001,0.1,10,0.9363,0.9476
0.6,32,0.001,0.1,11,0.9377,0.9359
0.6,32,0.001,0.1,12,0.9387,0.9450
0.6,32,0.001,0.1,13,0.9399,0.9425
0.6,32,0.001,0.1,14,0.9406,0.9458
0.6,32,0.001,0.1,15,0.9496,0.9528
0.6,32,0.001,0.1,16,0.9516,0.9534
0.6,32,0.001,0.1,17,0.9526,0.9552
0.6,32,0.001,0.1,18,0.9539,0.9547
0.6,32,0.001,0.1,19,0.9537,0.9550
0.6,32,0.001,0.1,20,0.9543,0.9554


RUN 20/72 PARAMETERS: dropout=0.6, batch_size=32, learning_rate=0.001, color_jitter=0.2

0.6,32,0.001,0.2,1,0.7996,0.8767
0.6,32,0.001,0.2,2,0.8911,0.9028
0.6,32,0.001,0.2,3,0.9102,0.9297
0.6,32,0.001,0.2,4,0.9197,0.8922
0.6,32,0.001,0.2,5,0.9261,0.9263
0.6,32,0.001,0.2,6,0.9301,0.9270
0.6,32,0.001,0.2,7,0.9332,0.9411
0.6,32,0.001,0.2,8,0.9352,0.9298
0.6,32,0.001,0.2,9,0.9353,0.8920
0.6,32,0.001,0.2,10,0.9377,0.9401
0.6,32,0.001,0.2,11,0.9387,0.9438
0.6,32,0.001,0.2,12,0.9393,0.9439
0.6,32,0.001,0.2,13,0.9406,0.9344
0.6,32,0.001,0.2,14,0.9409,0.8833
0.6,32,0.001,0.2,15,0.9403,0.9192
0.6,32,0.001,0.2,16,0.9411,0.9479
0.6,32,0.001,0.2,17,0.9508,0.9503
0.6,32,0.001,0.2,18,0.9515,0.9436
0.6,32,0.001,0.2,19,0.9527,0.9540
0.6,32,0.001,0.2,20,0.9533,0.9428


RUN 21/72 PARAMETERS: dropout=0.6, batch_size=32, learning_rate=0.001, color_jitter=0.3

0.6,32,0.001,0.3,1,0.8040,0.8844
0.6,32,0.001,0.3,2,0.8908,0.9072
0.6,32,0.001,0.3,3,0.9070,0.9161
0.6,32,0.001,0.3,4,0.9177,0.9305
0.6,32,0.001,0.3,5,0.9256,0.9358
0.6,32,0.001,0.3,6,0.9306,0.9400
0.6,32,0.001,0.3,7,0.9332,0.9428
0.6,32,0.001,0.3,8,0.9349,0.9453
0.6,32,0.001,0.3,9,0.9353,0.9356
0.6,32,0.001,0.3,10,0.9368,0.9358
0.6,32,0.001,0.3,11,0.9372,0.9435
0.6,32,0.001,0.3,12,0.9382,0.9424
0.6,32,0.001,0.3,13,0.9499,0.9496
0.6,32,0.001,0.3,14,0.9520,0.9446
0.6,32,0.001,0.3,15,0.9508,0.9483
0.6,32,0.001,0.3,16,0.9521,0.9459
0.6,32,0.001,0.3,17,0.9531,0.9544
0.6,32,0.001,0.3,18,0.9523,0.9506
0.6,32,0.001,0.3,19,0.9534,0.9505
0.6,32,0.001,0.3,20,0.9538,0.9513


RUN 22/72 PARAMETERS: dropout=0.6, batch_size=32, learning_rate=0.0001, color_jitter=0.1

0.6,32,0.0001,0.1,1,0.6650,0.7450
0.6,32,0.0001,0.1,2,0.7709,0.8155
0.6,32,0.0001,0.1,3,0.8295,0.8618
0.6,32,0.0001,0.1,4,0.8662,0.8883
0.6,32,0.0001,0.1,5,0.8880,0.9035
0.6,32,0.0001,0.1,6,0.9004,0.9119
0.6,32,0.0001,0.1,7,0.9113,0.9174
0.6,32,0.0001,0.1,8,0.9195,0.9212
0.6,32,0.0001,0.1,9,0.9267,0.9202
0.6,32,0.0001,0.1,10,0.9303,0.9236
0.6,32,0.0001,0.1,11,0.9346,0.9228
0.6,32,0.0001,0.1,12,0.9399,0.9266
